!
!     ZIMS FILE NAME :  B23Ð£ÕýH3A_YF_tie_v2.grd
!     FORMATTED FILE CREATION DATE: 22/02/2021
!     FORMATTED FILE CREATION TIME: 10:12
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   193,  369,  280780.0000,  299180.0000,  2346500.0000,  2356100.0000
   0.0000,  50.0000,  50.0000
@
     -2029.9700     -2030.6750     -2031.3781
     -2190.3840     -2190.1621     -2189.8889     -2189.5120     -2188.9819
     -2188.2529     -2187.2490     -2185.8831     -2184.1350     -2181.9199
     -2179.3560     -2176.4451     -2173.4480     -2170.5391     -2167.9871
     -2166.1001     -2164.9299     -2164.7700     -2165.2180     -2166.0239
     -2167.0259     -2167.9319     -2168.8689     -2169.8821     -2170.9280
     -2171.9980     -2173.0449     -2174.0371     -2174.9131     -2175.6240
     -2176.0991     -2176.2681     -2176.0920     -2175.5200     -2174.5120
     -2173.0110     -2171.0229     -2168.4910     -2165.5459     -2162.2180
     -2158.7571     -2155.3110     -2152.2200     -2149.8081     -2148.2690
     -2147.9009     -2148.7180     -2150.8840     -2154.2400     -2158.8059
     -2164.2080     -2170.2041     -2176.4150     -2182.4131     -2188.1089
     -2193.2109     -2197.9041     -2202.2080     -2206.3391     -2210.4890
     -2214.7461     -2219.2891     -2224.0371     -2228.9961     -2234.0820
     -2239.1890     -2244.3831     -2249.6499     -2255.1221     -2260.9260
     -2267.0630     -2273.6750     -2280.4700     -2287.4109     -2293.8789
     -2299.5171     -2303.5049     -2305.1570     -2303.7229     -2298.3279
     -2288.6589     -2273.9580     -2254.6960     -2230.6631     -2203.1331
     -2172.7639     -2141.1919     -2109.8269     -2079.9910     -2053.3130
     -2030.2780     -2012.0570     -1998.2240     -1989.0520     -1983.6190
     -1981.3750     -1981.4730     -1983.0430     -1985.6030     -1988.4180
     -1991.3790     -1994.1100     -1996.6750     -1998.9880     -2001.1140
     -2003.0909     -2004.9170     -2006.6180     -2008.1460     -2009.4650
     -2010.5730     -2011.4360     -2012.1121     -2012.6360     -2013.0430
     -2013.3810     -2013.6460     -2013.8610     -2013.9960     -2014.0389
     -2013.9650     -2013.7440     -2013.3879     -2012.8920     -2012.2910
     -2011.6071     -2010.8700     -2010.1140     -2009.3521     -2008.6110
     -2007.8840     -2007.1700     -2006.4830     -2005.8210     -2005.2220
     -2004.7100     -2004.3230     -2004.1000     -2004.0570     -2004.2321
     -2004.5959     -2005.1470     -2005.8510     -2006.6880     -2007.6100
     -2008.5900     -2009.5520     -2010.4310     -2011.1750     -2011.7010
     -2012.0430     -2012.1820     -2012.1930     -2012.1260     -2012.0360
     -2011.9919     -2011.9930     -2012.0710     -2012.2050     -2012.3900
     -2012.6150     -2012.8669     -2013.1470     -2013.4490     -2013.7780
     -2014.1370     -2014.5270     -2014.9540     -2015.4170     -2015.9180
     -2016.4540     -2017.0229     -2017.6219     -2018.2450     -2018.8900
     -2019.5520     -2020.2250     -2020.9080     -2021.5990     -2022.2939
     -2022.9950     -2023.7010     -2024.4110     -2025.1260     -2025.8450
     -2026.5670     -2027.2900     -2028.0110     -2028.7300     -2029.4430
     -2030.1520     -2030.8550     -2031.5560
     -2191.6440     -2191.3650     -2191.0420     -2190.6321     -2190.0920
     -2189.3879     -2188.4509     -2187.2019     -2185.6279     -2183.6470
     -2181.3799     -2178.8340     -2176.2671     -2173.8560     -2171.8430
     -2170.5330     -2169.9021     -2170.1970     -2170.9121     -2171.6140
     -2172.3330     -2172.9260     -2173.4919     -2174.1089     -2174.7041
     -2175.2219     -2175.7019     -2176.1909     -2176.6160     -2176.9380
     -2177.1101     -2177.0869     -2176.8279     -2176.2930     -2175.4351
     -2174.1951     -2172.5759     -2170.5239     -2168.1570     -2165.5071
     -2162.7830     -2160.1069     -2157.7739     -2156.0879     -2155.1489
     -2155.1460     -2156.1111     -2158.1890     -2161.2400     -2165.2891
     -2169.9929     -2175.1240     -2180.3611     -2185.2939     -2189.9651
     -2194.2209     -2198.2209     -2202.0120     -2205.7771     -2209.7000
     -2213.8181     -2218.2681     -2222.9290     -2227.7500     -2232.6560
     -2237.5300     -2242.4460     -2247.3940     -2252.5120     -2257.9280
     -2263.6689     -2269.8850     -2276.3279     -2282.9871     -2289.2930
     -2294.9380     -2299.1230     -2301.2051     -2300.3970     -2295.8240
     -2287.1111     -2273.4480     -2255.2571     -2232.2759     -2205.7581
     -2176.3259     -2145.6040     -2114.9861     -2085.7810     -2059.6101
     -2036.9410     -2018.9301     -2005.1479     -1995.8521     -1990.1470
     -1987.4890     -1987.0740     -1988.0690     -1990.0190     -1992.2200
     -1994.5800     -1996.7460     -1998.7860     -2000.6240     -2002.3300
     -2003.9530     -2005.4860     -2006.9620     -2008.3199     -2009.5129
     -2010.5439     -2011.3870     -2012.0890     -2012.6840     -2013.1860
     -2013.6250     -2013.9919     -2014.2980     -2014.5129     -2014.6160
     -2014.5930     -2014.4130     -2014.1000     -2013.6580     -2013.1160
     -2012.5010     -2011.8350     -2011.1479     -2010.4430     -2009.7350
     -2009.0129     -2008.2620     -2007.5060     -2006.7469     -2006.0341
     -2005.4030     -2004.8960     -2004.5670     -2004.4301     -2004.5270
     -2004.8250     -2005.3140     -2005.9659     -2006.7670     -2007.6639
     -2008.6250     -2009.5640     -2010.3990     -2011.0830     -2011.5260
     -2011.7780     -2011.8330     -2011.7710     -2011.6591     -2011.5430
     -2011.4960     -2011.5100     -2011.6080     -2011.7670     -2011.9780
     -2012.2300     -2012.5090     -2012.8160     -2013.1470     -2013.5060
     -2013.8970     -2014.3199     -2014.7810     -2015.2770     -2015.8120
     -2016.3800     -2016.9810     -2017.6090     -2018.2600     -2018.9310
     -2019.6140     -2020.3070     -2021.0070     -2021.7100     -2022.4170
     -2023.1270     -2023.8409     -2024.5590     -2025.2810     -2026.0070
     -2026.7360     -2027.4650     -2028.1920     -2028.9139     -2029.6281
     -2030.3361     -2031.0380     -2031.7360
     -2192.9961     -2192.6550     -2192.2791     -2191.8279     -2191.2690
     -2190.5769     -2189.6870     -2188.5300     -2187.0979     -2185.3181
     -2183.3169     -2181.1150     -2178.9590     -2177.0291     -2175.5439
     -2174.8569     -2174.7480     -2175.2319     -2175.9541     -2176.5439
     -2177.0649     -2177.4451     -2177.7229     -2177.9121     -2178.0291
     -2178.0840     -2178.1150     -2178.1780     -2178.2241     -2178.2339
     -2178.1699     -2178.0029     -2177.6880     -2177.1870     -2176.4541
     -2175.4270     -2174.1169     -2172.4829     -2170.6221     -2168.5500
     -2166.4661     -2164.5090     -2162.8789     -2161.7959     -2161.3401
     -2161.6489     -2162.7600     -2164.8110     -2167.6370     -2171.2190
     -2175.2571     -2179.5110     -2183.7910     -2187.8120     -2191.6299
     -2195.1580     -2198.5530     -2201.8921     -2205.3210     -2209.0149
     -2212.9651     -2217.2671     -2221.7871     -2226.4470     -2231.1731
     -2235.8401     -2240.5249     -2245.2209     -2250.0691     -2255.1951
     -2260.6470     -2266.5830     -2272.8000     -2279.3191     -2285.6130
     -2291.4241     -2295.9561     -2298.6050     -2298.5339     -2294.8479
     -2287.1069     -2274.4441     -2257.2410     -2235.1809     -2209.4980
     -2180.7810     -2150.6499     -2120.4839     -2091.5991     -2065.6111
     -2042.9960     -2024.9050     -2010.9210     -2001.2900     -1995.1670
     -1992.0551     -1991.1639     -1991.6880     -1993.1770     -1994.9470
     -1996.8940     -1998.6660     -2000.3340     -2001.8270     -2003.2230
     -2004.5800     -2005.8900     -2007.1790     -2008.3970     -2009.5031
     -2010.5010     -2011.3770     -2012.1541     -2012.8480     -2013.4640
     -2014.0129     -2014.4810     -2014.8669     -2015.1440     -2015.2850
     -2015.2880     -2015.1350     -2014.8530     -2014.4530     -2013.9620
     -2013.4070     -2012.8030     -2012.1780     -2011.5179     -2010.8250
     -2010.0880     -2009.2860     -2008.4540     -2007.5990     -2006.7800
     -2006.0400     -2005.4301     -2005.0140     -2004.7980     -2004.8160
     -2005.0430     -2005.4720     -2006.0750     -2006.8480     -2007.7220
     -2008.6610     -2009.5660     -2010.3340     -2010.9351     -2011.2850
     -2011.4440     -2011.4170     -2011.2910     -2011.1460     -2011.0190
     -2010.9790     -2011.0100     -2011.1281     -2011.3110     -2011.5460
     -2011.8240     -2012.1300     -2012.4650     -2012.8250     -2013.2150
     -2013.6370     -2014.0940     -2014.5880     -2015.1190     -2015.6880
     -2016.2920     -2016.9260     -2017.5861     -2018.2670     -2018.9650
     -2019.6730     -2020.3879     -2021.1050     -2021.8240     -2022.5420
     -2023.2620     -2023.9830     -2024.7070     -2025.4360     -2026.1689
     -2026.9060     -2027.6429     -2028.3750     -2029.1010     -2029.8180
     -2030.5260     -2031.2260     -2031.9220
     -2194.4260     -2194.0171     -2193.5801     -2193.0830     -2192.4980
     -2191.8059     -2190.9490     -2189.8660     -2188.5549     -2186.9529
     -2185.1931     -2183.3049     -2181.5291     -2180.0510     -2179.0481
     -2178.8821     -2179.1741     -2179.7219     -2180.3601     -2180.8440
     -2181.2080     -2181.4070     -2181.4370     -2181.2390     -2180.9299
     -2180.6021     -2180.2690     -2179.9871     -2179.7290     -2179.4971
     -2179.2539     -2178.9800     -2178.6289     -2178.1589     -2177.5300
     -2176.6790     -2175.6260     -2174.3440     -2172.9080     -2171.3250
     -2169.7849     -2168.4451     -2167.4141     -2166.8291     -2166.7671
     -2167.3459     -2168.5869     -2170.6169     -2173.2429     -2176.3950
     -2179.8291     -2183.3010     -2186.7461     -2190.0020     -2193.1179
     -2196.0359     -2198.9131     -2201.8511     -2204.9651     -2208.4180
     -2212.1741     -2216.2920     -2220.6370     -2225.1201     -2229.6660
     -2234.1460     -2238.6370     -2243.1260     -2247.7600     -2252.6580
     -2257.8921     -2263.6279     -2269.7080     -2276.1890     -2282.5801
     -2288.6741     -2293.6689     -2296.9910     -2297.7429     -2295.0061
     -2288.2729     -2276.6169     -2260.3779     -2239.1831     -2214.2439
     -2186.1079     -2156.3979     -2126.4771     -2097.6731     -2071.6079
     -2048.7759     -2030.3380     -2015.9110     -2005.7581     -1999.0909
     -1995.4709     -1994.1080     -1994.2190     -1995.3440     -1996.7990
     -1998.4630     -1999.9590     -2001.3669     -2002.6100     -2003.7780
     -2004.9370     -2006.0780     -2007.2290     -2008.3521     -2009.4189
     -2010.4320     -2011.3831     -2012.2679     -2013.0850     -2013.8260
     -2014.4871     -2015.0510     -2015.5040     -2015.8260     -2015.9890
     -2016.0050     -2015.8700     -2015.6090     -2015.2430     -2014.7930
     -2014.2880     -2013.7340     -2013.1560     -2012.5270     -2011.8350
     -2011.0740     -2010.2209     -2009.3180     -2008.3790     -2007.4680
     -2006.6360     -2005.9390     -2005.4490     -2005.1620     -2005.1050
     -2005.2600     -2005.6310     -2006.1880     -2006.9280     -2007.7700
     -2008.6689     -2009.5190     -2010.2020     -2010.7061     -2010.9570
     -2011.0260     -2010.9250     -2010.7480     -2010.5830     -2010.4550
     -2010.4270     -2010.4790     -2010.6190     -2010.8280     -2011.0900
     -2011.3960     -2011.7310     -2012.0970     -2012.4880     -2012.9110
     -2013.3660     -2013.8560     -2014.3850     -2014.9520     -2015.5570
     -2016.1949     -2016.8650     -2017.5590     -2018.2720     -2019.0000
     -2019.7340     -2020.4720     -2021.2080     -2021.9420     -2022.6720
     -2023.4000     -2024.1290     -2024.8590     -2025.5950     -2026.3350
     -2027.0800     -2027.8250     -2028.5630     -2029.2939     -2030.0110
     -2030.7190     -2031.4170     -2032.1121
     -2195.9180     -2195.4280     -2194.9150     -2194.3579     -2193.7319
     -2193.0229     -2192.1809     -2191.1521     -2189.9460     -2188.5120
     -2186.9819     -2185.3960     -2183.9819     -2182.9709     -2182.4021
     -2182.4971     -2182.9341     -2183.5061     -2184.0920     -2184.5000
     -2184.7280     -2184.6951     -2184.4441     -2183.9509     -2183.3359
     -2182.7070     -2182.0879     -2181.5471     -2181.0630     -2180.6531
     -2180.2800     -2179.9270     -2179.5481     -2179.1001     -2178.5520
     -2177.8521     -2177.0149     -2176.0139     -2174.9260     -2173.7720
     -2172.7019     -2171.8469     -2171.2859     -2171.1189     -2171.4060
     -2172.2529     -2173.6270     -2175.5901     -2177.9700     -2180.6741
     -2183.5400     -2186.3879     -2189.1880     -2191.8301     -2194.3760
     -2196.8040     -2199.2600     -2201.8521     -2204.6770     -2207.8860
     -2211.4290     -2215.3521     -2219.5161     -2223.8169     -2228.1890
     -2232.5049     -2236.8330     -2241.1521     -2245.6101     -2250.3159
     -2255.3689     -2260.9419     -2266.9180     -2273.3931     -2279.9121
     -2286.3250     -2291.8159     -2295.8350     -2297.4341     -2295.6709
     -2289.9829     -2279.3979     -2264.2009     -2243.9609     -2219.8469
     -2192.3469     -2163.0791     -2133.3740     -2104.5710     -2078.2749
     -2055.0120     -2035.9449     -2020.7800     -2009.8621     -2002.4440
     -1998.1570     -1996.2150     -1995.8690     -1996.6300     -1997.8101
     -1999.2550     -2000.5540     -2001.7860     -2002.8590     -2003.8730
     -2004.8929     -2005.9220     -2006.9969     -2008.0909     -2009.1960
     -2010.2939     -2011.3690     -2012.3990     -2013.3640     -2014.2440
     -2015.0190     -2015.6700     -2016.1730     -2016.5200     -2016.6910
     -2016.7090     -2016.5820     -2016.3370     -2015.9960     -2015.5790
     -2015.1140     -2014.5980     -2014.0470     -2013.4320     -2012.7310
     -2011.9430     -2011.0480     -2010.0920     -2009.0920     -2008.1169
     -2007.2240     -2006.4640     -2005.9060     -2005.5490     -2005.4200
     -2005.5060     -2005.8210     -2006.3270     -2007.0210     -2007.8080
     -2008.6250     -2009.3760     -2009.9470     -2010.3370     -2010.4850
     -2010.4690     -2010.3149     -2010.1100     -2009.9440     -2009.8311
     -2009.8210     -2009.8979     -2010.0680     -2010.3090     -2010.6030
     -2010.9420     -2011.3110     -2011.7120     -2012.1390     -2012.5959
     -2013.0870     -2013.6140     -2014.1801     -2014.7830     -2015.4260
     -2016.1010     -2016.8070     -2017.5370     -2018.2841     -2019.0410
