!
!     ZIMS FILE NAME :  LF7-10_ep225_top.grd
!     FORMATTED FILE CREATION DATE: 26/01/2021
!     FORMATTED FILE CREATION TIME: 09:41
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   56,  83,  396608.6875,  404808.6875,  2393950.0000,  2399450.0000
   0.0000,  100.0000,  100.0000
@
      3117.7109      3105.3259      3091.8069      3077.5850      3063.2849
      3049.3911      3035.9141      3022.6040      3009.4360      2996.5229
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31      3251.3440
      3246.6069      3241.7019      3236.4819      3231.1279      3225.9189
      3220.9099      3215.5920      3209.4800      3202.5850      3195.5540
      3189.5349      3185.6741      3184.4851      3185.7439      3188.5779
      3191.6450      3193.6960      3194.1599      3193.0459      3190.8049
      3187.9751      3184.7939      3181.1970      3176.9709      3171.9170
      3166.1370      3159.7439      3152.6389      3144.5850      3135.4319
      3125.0439      3113.2939      3100.2629      3086.3140      3071.9771
      3057.6270      3043.2661      3028.8569      3014.7109      3001.1819
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31      3257.5291      3252.8110
      3248.0811      3243.0271      3237.6060      3232.1060      3226.9299
      3221.9851      3216.7419      3210.7529      3204.0371      3197.1890
      3191.2429      3187.1560      3185.4561      3186.0901      3188.3689
      3191.2610      3193.7820      3195.1211      3195.0181      3193.7439
      3191.7241      3189.2029      3186.0349      3181.8611      3176.6860
      3170.7749      3164.3159      3157.2410      3149.4290      3140.6809
      3130.7671      3119.4661      3106.7781      3093.0071      3078.6650
      3064.0181      3049.0481      3033.9331      3019.1870  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31      3258.5879      3253.9580
      3249.2009      3244.0730      3238.6479      3233.3120      3228.3101
      3223.4241      3218.2251      3212.4370      3206.0601      3199.5291
      3193.6399      3189.2061      3186.7749      3186.4370      3187.9060
      3190.5920      3193.4741      3195.6060      3196.5610      3196.4290
      3195.5239      3193.8450      3191.0400      3186.9199      3181.6489
      3175.5740      3168.8740      3161.5620      3153.6240      3144.9260
      3135.1021      3123.8501      3111.1609      3097.4319      3083.1201
      3068.3569      3053.2029      3037.8669      3022.8931  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31      3259.4980      3254.9419
      3250.1709      3245.1250      3239.9751      3234.9561      3230.0530
      3225.0830      3219.9121      3214.3889      3208.3811      3202.1560
      3196.2991      3191.4629      3188.1299      3186.6799      3187.3181
      3189.6201      3192.6189      3195.4060      3197.4470      3198.6880
      3199.0649      3198.2739      3195.9880      3192.1389      3186.9690
      3180.8049      3173.7209      3165.9661      3157.7051      3148.6890
      3138.4829      3126.8059      3113.8159      3100.0029      3085.7170
      3071.0520      3056.0200      3040.8411      3025.8779  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31      3260.5339      3256.2070
      3251.5811      3246.8149      3242.0330      3237.1431      3232.0439
      3226.8579      3221.7229      3216.4080      3210.7251      3204.7871
      3198.9680      3193.6870      3189.4541      3186.9729      3186.6660
      3188.2539      3191.0701      3194.2949      3197.3811      3199.9241
      3201.5171      3201.7300      3200.2549      3197.0569      3192.3750
      3186.1660      3178.7520      3170.6011      3161.8479      3152.1980
      3141.2371      3128.8860      3115.4880      3101.5459      3087.3311
